Age,Workclass,Qualification,Marital status,occupation,sex,hours.per.week,Country,Income morethan 50k
30,Private,HS-grad,Never-married,Adm-clerical,Male,42,United-States,0
20,Private,HS-grad,Never-married,Other-service,Male,40,United-States,0
42,Federal-gov,Masters,Divorced,Adm-clerical,Male,60,United-States,0
31,Private,11th,Never-married,Craft-repair,Male,40,United-States,0
33,Private,Bachelors,Never-married,Handlers-cleaners,Male,40,United-States,0
25,Private,Assoc-acdm,Never-married,Tech-support,Female,30,United-States,0
20,Private,HS-grad,Never-married,Other-service,Male,40,United-States,0
23,Private,HS-grad,Never-married,Adm-clerical,Male,40,United-States,0
48,Private,HS-grad,Separated,Adm-clerical,Female,40,United-States,0
34,Private,Bachelors,Never-married,Other-service,Male,40,United-States,0
31,Private,HS-grad,Never-married,Farming-fishing,Male,40,United-States,0
36,Private,HS-grad,Never-married,Other-service,Female,40,United-States,0
27,Private,HS-grad,Never-married,Other-service,Male,40,United-States,0
27,Private,Some-college,Never-married,Craft-repair,Male,40,Philippines,0
35,Private,Bachelors,Divorced,Sales,Female,65,United-States,0
31,Self-emp-not-inc,Bachelors,Married-spouse-absent,Exec-managerial,Male,60,United-States,0
27,Federal-gov,HS-grad,Never-married,Craft-repair,Male,40,United-States,0
28,Local-gov,Assoc-acdm,Never-married,Adm-clerical,Female,40,United-States,0
42,Private,HS-grad,Divorced,Transport-moving,Male,46,United-States,0
44,Private,Some-college,Separated,Exec-managerial,Male,45,England,0
41,Private,Bachelors,Divorced,Sales,Male,56,United-States,0
28,Private,Bachelors,Never-married,Tech-support,Female,35,United-States,0
41,Federal-gov,HS-grad,Never-married,Adm-clerical,Female,40,United-States,0
35,Private,10th,Widowed,Other-service,Female,40,United-States,0
58,Private,Masters,Divorced,Adm-clerical,Female,45,United-States,0
40,Private,HS-grad,Divorced,Machine-op-inspct,Male,48,United-States,0
31,Private,Assoc-voc,Never-married,Transport-moving,Male,60,United-States,0
30,Private,HS-grad,Never-married,Sales,Female,40,United-States,0
32,Private,Some-college,Separated,Tech-support,Male,40,United-States,0
25,Private,Some-college,Never-married,Adm-clerical,Male,40,United-States,0
34,Private,HS-grad,Never-married,Transport-moving,Male,40,United-States,0
56,Private,Some-college,Divorced,Exec-managerial,Female,40,United-States,0
45,Private,HS-grad,Divorced,Other-service,Male,40,United-States,0
50,Private,HS-grad,Never-married,Adm-clerical,Male,40,United-States,0
27,Private,10th,Never-married,Sales,Male,40,United-States,0
51,Private,Some-college,Married-civ-spouse,Sales,Male,40,United-States,1
40,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Male,60,United-States,1
41,Private,Masters,Married-civ-spouse,Exec-managerial,Male,65,United-States,1
49,Private,Masters,Married-civ-spouse,Exec-managerial,Male,45,United-States,1
37,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Male,40,United-States,1
36,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Female,45,United-States,1
35,Private,Prof-school,Married-civ-spouse,Prof-specialty,Male,80,United-States,1
29,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Female,25,United-States,1
50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Female,40,United-States,1
46,Private,Bachelors,Married-civ-spouse,Sales,Male,40,United-States,1
44,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Male,45,United-States,1
42,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
38,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
45,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,55,United-States,1
43,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Male,60,United-States,1
47,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,60,United-States,1
58,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
48,Private,Prof-school,Married-civ-spouse,Tech-support,Male,40,United-States,1
42,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Male,48,United-States,1
55,Private,Masters,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
51,Private,10th,Married-civ-spouse,Sales,Male,40,United-States,1
32,Private,Masters,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
45,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
56,Private,Masters,Married-civ-spouse,Craft-repair,Male,44,United-States,1
38,Private,Masters,Married-civ-spouse,Exec-managerial,Male,60,United-States,1
45,Private,Assoc-voc,Married-civ-spouse,Sales,Male,50,United-States,1
49,Private,Masters,Married-civ-spouse,Prof-specialty,Female,40,United-States,1
36,Private,HS-grad,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
49,Private,Masters,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
30,Private,Doctorate,Married-civ-spouse,Prof-specialty,Male,40,China,1
42,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
55,Private,Masters,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,45,United-States,1
54,Private,Doctorate,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
42,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,70,United-States,1
25,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
55,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Male,45,United-States,1
58,State-gov,Masters,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
62,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,60,United-States,1
43,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
57,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Female,40,United-States,1
42,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Male,60,United-States,1
63,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Male,32,China,1
47,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
37,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
40,Private,Bachelors,Married-civ-spouse,Sales,Male,60,United-States,1
43,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
43,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Male,70,United-States,1
41,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,60,United-States,1
32,Private,Prof-school,Married-civ-spouse,Prof-specialty,Male,60,United-States,1
47,Private,Bachelors,Married-civ-spouse,Sales,Male,40,United-States,1
39,Federal-gov,Some-college,Married-civ-spouse,Handlers-cleaners,Male,60,United-States,1
53,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
34,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,45,United-States,1
36,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
47,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Male,41,United-States,1
52,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Male,45,United-States,1
40,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,60,United-States,1
42,Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
51,Private,Masters,Married-civ-spouse,Protective-serv,Male,40,United-States,1
55,Private,Masters,Married-civ-spouse,Tech-support,Male,20,United-States,1
38,Private,HS-grad,Married-civ-spouse,Sales,Male,99,United-States,1
52,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
60,Federal-gov,HS-grad,Married-civ-spouse,Tech-support,Male,40,United-States,1
55,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Male,50,Germany,1
47,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
46,Private,Masters,Married-civ-spouse,Tech-support,Male,40,United-States,1
35,Private,Masters,Married-civ-spouse,Prof-specialty,Male,45,United-States,1
59,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
57,Private,Masters,Married-civ-spouse,Prof-specialty,Male,45,United-States,1
46,Private,Some-college,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
46,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
52,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,40,United-States,1
45,Private,Doctorate,Married-civ-spouse,Prof-specialty,Female,30,United-States,1
37,Private,Bachelors,Married-civ-spouse,Tech-support,Male,40,United-States,1
46,Private,Masters,Married-civ-spouse,Exec-managerial,Male,45,United-States,1
44,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
45,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
43,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,52,United-States,1
54,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
50,Private,Masters,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
45,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
36,Private,Masters,Married-civ-spouse,Prof-specialty,Male,60,United-States,1
27,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
36,Private,Bachelors,Married-civ-spouse,Sales,Male,35,United-States,1
53,Private,Masters,Married-civ-spouse,Exec-managerial,Male,55,United-States,1
51,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Male,35,United-States,1
28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Female,24,United-States,1
47,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Male,40,United-States,1
45,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,60,United-States,1
45,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Female,35,United-States,1
39,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
39,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
55,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
62,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,98,United-States,1
49,Private,Bachelors,Married-civ-spouse,Sales,Male,50,South,1
53,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
31,Private,Masters,Married-civ-spouse,Exec-managerial,Male,48,United-States,1
42,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Male,60,Italy,1
39,Private,Bachelors,Married-civ-spouse,Transport-moving,Male,45,Philippines,1
60,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,45,United-States,1
26,Private,Prof-school,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
37,Private,Masters,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
45,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Male,60,United-States,1
37,Private,Assoc-acdm,Married-civ-spouse,Sales,Male,45,United-States,1
32,Private,Bachelors,Married-civ-spouse,Sales,Male,45,United-States,1
39,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
45,Private,Masters,Married-civ-spouse,Exec-managerial,Male,43,United-States,1
41,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,45,United-States,1
36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,65,United-States,1
51,State-gov,Masters,Married-civ-spouse,Prof-specialty,Male,60,United-States,1
39,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,62,United-States,1
56,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
53,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Male,40,United-States,1
40,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,Female,15,United-States,1
57,Private,Masters,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
50,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Male,35,United-States,1
34,Private,Prof-school,Married-civ-spouse,Prof-specialty,Male,55,United-States,1
35,Private,Bachelors,Married-civ-spouse,Exec-managerial,Female,30,United-States,1
30,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,Male,15,United-States,1
53,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Male,55,United-States,1
31,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Male,70,United-States,1
37,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,60,United-States,1
34,Private,Bachelors,Married-civ-spouse,Sales,Male,50,United-States,1
36,Private,Masters,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
40,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
51,Private,Some-college,Married-civ-spouse,Craft-repair,Male,60,United-States,1
33,Private,HS-grad,Married-civ-spouse,Sales,Male,45,United-States,1
40,Private,Doctorate,Married-civ-spouse,Prof-specialty,Female,20,United-States,1
46,Self-emp-inc,Masters,Married-civ-spouse,Sales,Male,60,United-States,1
54,Private,Doctorate,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
39,Private,Masters,Married-civ-spouse,Prof-specialty,Female,24,United-States,1
54,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Male,40,United-States,1
31,Private,Doctorate,Married-civ-spouse,Prof-specialty,Male,99,United-States,0
51,Private,Masters,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
36,Private,Masters,Married-civ-spouse,Adm-clerical,Male,40,Japan,1
41,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,60,Taiwan,1
56,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Female,50,United-States,1
38,Private,Bachelors,Married-civ-spouse,Tech-support,Male,40,United-States,1
47,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,45,United-States,1
39,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Male,45,United-States,1
59,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
54,Private,Doctorate,Married-civ-spouse,Exec-managerial,Male,43,United-States,1
54,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Female,35,United-States,1
31,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,55,United-States,1
59,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Male,48,United-States,1
